year,extreme_heat_days,flood_events_durham,insured_losses_m_cad,projected_response_time_hrs_status_quo,projected_response_time_hrs_with_climateshield
2024,22,9,3800,8.071308713008966,3.2285234852035867
2025,23,10,4200,8.521918680118675,3.4087674720474705
2026,24,10,4600,8.727476003597989,3.4909904014391957
2027,25,11,5100,9.228992045990458,3.6915968183961834
2028,26,11,5600,9.485455444752528,3.7941821779010114
2029,27,12,6200,10.037877562427756,4.015151024971103
2030,28,13,6900,10.641205755385743,4.256482302154297
